account_id,customer_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
342,123,5711-585866,02,556748.59,2021-01-25,A,2021-01-25 01:20:17,
343,100,7475-565611,01,4245131.82,2021-06-09,C,2021-06-09 22:01:43,
344,134,4841-590580,01,2036624.16,2022-06-26,F,2022-06-26 14:18:02,
345,86,9030-469784,01,29258.33,2021-04-25,A,2021-04-25 09:58:18,
346,179,8115-233176,02,4750891.05,2021-10-28,A,2021-10-28 19:50:39,
347,45,8574-223348,01,4864455.55,2020-12-11,A,2020-12-11 13:03:04,
348,32,7199-796565,01,2949329.36,2023-05-09,A,2023-05-09 02:20:10,
349,169,6574-984670,02,2292535.48,2024-02-07,A,2024-02-07 12:38:16,
350,62,7904-449021,02,441842.48,2020-12-31,A,2020-12-31 06:59:35,
351,175,5960-373315,01,3223065.3,2020-07-18,A,2020-07-18 05:41:42,
352,192,9026-119725,01,1589931.13,2021-04-09,A,2021-04-09 05:10:31,
353,73,7051-510197,01,1556889.44,2022-05-10,A,2022-05-10 02:39:27,
354,73,2586-440876,01,2305673.13,2022-06-03,A,2022-06-03 21:02:05,
355,59,5480-997330,01,4674152.75,2023-10-07,A,2023-10-07 03:47:38,
356,56,9653-498049,02,3662577.37,2023-04-02,A,2023-04-02 12:20:58,
357,167,7956-851225,02,3014080.8,2023-06-03,C,2023-06-03 17:56:57,
358,72,3012-873708,02,2686578.67,2023-01-12,A,2023-01-12 12:11:44,
359,109,1353-706860,01,414891.69,2022-12-10,A,2022-12-10 09:42:27,
360,29,5177-624717,02,2901667.84,2021-05-13,A,2021-05-13 09:36:26,
361,17,1716-188628,01,3892969.84,2022-07-19,A,2022-07-19 20:20:03,
362,4,1794-790409,01,1864640.08,2021-08-15,A,2021-08-15 00:24:37,
363,19,3677-603799,02,4959453.8,2021-03-19,A,2021-03-19 21:37:57,
364,176,6637-860937,02,1305494.77,2020-01-09,C,2020-01-09 10:40:15,
365,174,8481-180012,01,1881571.33,2023-08-19,A,2023-08-19 16:24:29,
366,185,8457-448311,02,510171.98,2023-11-12,A,2023-11-12 13:09:14,
367,78,9379-197489,02,3690715.52,2024-02-04,A,2024-02-04 09:43:06,
368,130,3120-478312,01,351647.81,2023-04-16,C,2023-04-16 22:00:16,
369,47,8110-123567,01,1889706.89,2020-01-23,F,2020-01-23 16:42:29,
370,123,5045-943355,01,1221626.71,2023-06-12,A,2023-06-12 06:34:44,
371,167,8202-823249,01,2313238.88,2021-09-10,A,2021-09-10 19:34:19,
372,131,4493-938133,01,672791.69,2021-02-10,A,2021-02-10 17:38:04,
373,121,9448-274063,02,3177121.26,2020-02-01,A,2020-02-01 11:41:43,
374,103,5647-694641,02,1068191.28,2023-12-10,A,2023-12-10 23:12:13,
375,13,6549-283520,02,4453025.02,2020-04-04,C,2020-04-04 04:34:10,
376,109,6963-807657,02,1944710.89,2023-02-23,C,2023-02-23 01:40:33,
377,152,6139-139720,02,2537591.5,2021-04-12,A,2021-04-12 06:10:48,
378,139,4461-285122,02,1950018.55,2023-11-09,A,2023-11-09 19:16:37,
379,29,6722-564475,01,4416862.99,2020-07-21,A,2020-07-21 21:35:16,
380,61,7689-798443,01,3315433.24,2022-08-08,A,2022-08-08 06:16:49,
