account_id,customer_id,branch_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
326,109,18,4567-653493,01,4286471.78,2021-11-22,A,2021-11-22 10:10:45,
327,161,2,9112-249013,01,514941.68,2022-02-18,A,2022-02-18 21:54:50,
328,18,3,7648-598843,01,3426654.99,2021-11-11,C,2021-11-11 16:40:08,
329,109,13,3142-807989,01,721297.11,2021-01-26,A,2021-01-26 19:12:01,
330,35,6,9601-869591,02,128889.18,2020-04-15,A,2020-04-15 07:51:47,
331,172,11,7959-931054,01,3015975.67,2021-07-18,A,2021-07-18 00:22:22,
332,152,14,3378-992750,01,3782200.92,2023-10-09,A,2023-10-09 01:21:50,
333,124,6,1072-363273,01,3119601.59,2021-12-17,A,2021-12-17 21:08:31,
334,96,12,3150-104631,02,543401.8,2021-06-21,C,2021-06-21 07:40:48,
335,183,2,2035-292252,02,3490862.3,2021-01-12,A,2021-01-12 12:04:57,
336,70,13,7144-314712,02,463767.42,2023-03-02,A,2023-03-02 04:04:40,
337,84,16,7901-416332,01,4468080.31,2021-12-01,C,2021-12-01 05:50:12,
338,199,14,8903-877187,01,1317416.02,2020-03-24,A,2020-03-24 05:46:11,
339,38,17,9178-364889,02,4285330.16,2020-05-12,A,2020-05-12 06:52:59,
340,108,13,9946-557688,02,3158830.68,2020-03-04,A,2020-03-04 23:12:06,
341,20,10,1586-909460,02,1560055.42,2023-09-08,A,2023-09-08 03:49:18,
342,58,16,3627-631120,01,1233436.56,2021-09-22,F,2021-09-22 01:06:19,
343,34,10,1001-395138,01,4166142.09,2022-03-10,A,2022-03-10 00:30:56,
344,49,10,5691-790370,01,1604614.53,2023-10-24,C,2023-10-24 12:23:55,
345,51,2,6773-452405,02,646562.0,2021-05-24,C,2021-05-24 04:24:49,
346,182,7,6591-850063,01,352820.87,2021-09-18,A,2021-09-18 15:40:57,
347,139,20,7493-578696,02,2787122.79,2020-01-05,A,2020-01-05 14:51:13,
348,41,8,1677-227097,01,1425767.65,2023-07-20,A,2023-07-20 16:44:07,
349,146,9,6124-476382,02,1951497.43,2023-02-17,A,2023-02-17 22:26:44,
350,97,14,6394-371611,01,2251560.85,2023-06-10,A,2023-06-10 06:54:43,
351,114,17,4433-458764,01,4276789.73,2023-09-15,A,2023-09-15 17:24:26,
352,130,16,2495-878175,01,2483618.87,2023-01-26,A,2023-01-26 09:27:45,
353,14,11,1837-545140,01,842047.73,2021-12-24,A,2021-12-24 08:41:59,
354,81,11,8579-381025,01,4509698.89,2022-03-09,A,2022-03-09 20:11:54,
355,129,5,7288-840076,01,4840331.05,2021-05-31,A,2021-05-31 10:05:18,
356,63,9,6646-894795,02,533088.93,2020-10-09,A,2020-10-09 23:45:57,
357,155,17,2719-943602,02,1749215.93,2022-02-06,F,2022-02-06 23:56:44,
358,95,18,7850-621663,02,1481863.55,2022-07-18,A,2022-07-18 19:56:54,
359,154,10,1970-896649,01,2886644.2,2024-01-01,A,2024-01-01 19:46:23,
360,99,18,7786-962823,01,4723150.15,2022-08-25,A,2022-08-25 13:22:07,
361,86,16,8237-239180,01,4566010.3,2023-08-17,A,2023-08-17 04:39:42,
362,138,16,1256-292864,01,2317154.74,2021-04-26,A,2021-04-26 01:36:58,
363,148,18,2558-386437,01,3856412.95,2023-05-07,A,2023-05-07 17:34:05,
364,189,8,7693-190363,02,2096558.61,2021-07-04,A,2021-07-04 15:14:54,
365,109,3,1872-772302,02,3398805.29,2023-11-13,A,2023-11-13 09:11:28,
366,173,5,4132-416036,01,4031013.9,2021-05-14,A,2021-05-14 11:49:48,
367,11,17,7258-544581,01,3441990.38,2022-06-14,A,2022-06-14 07:15:16,
368,50,12,4661-104899,01,2877988.76,2020-08-04,A,2020-08-04 09:25:53,
369,200,14,1037-932573,01,1922385.62,2022-11-09,A,2022-11-09 14:24:56,
370,75,20,4584-948526,02,7844.62,2023-05-19,C,2023-05-19 21:49:15,
371,104,16,3707-962676,01,4853444.58,2023-12-31,A,2023-12-31 00:10:40,
372,62,9,2525-150308,02,1596299.65,2024-01-30,A,2024-01-30 09:07:39,
373,186,16,5467-778396,01,3079409.02,2023-12-04,C,2023-12-04 09:52:35,
374,177,18,4110-246680,01,1967815.61,2022-06-13,A,2022-06-13 11:01:07,
375,134,9,4584-997644,02,1900369.67,2021-09-15,A,2021-09-15 16:02:39,
376,31,3,3413-396198,01,3214447.34,2020-11-25,A,2020-11-25 11:51:31,
377,135,14,3075-708607,02,1678096.35,2023-06-14,A,2023-06-14 05:37:16,
378,17,17,1366-707917,01,3634817.03,2021-10-19,A,2021-10-19 10:06:58,
379,178,15,6525-245680,02,3955757.47,2022-06-12,A,2022-06-12 13:54:00,
380,75,6,1676-919781,01,1377962.23,2023-05-11,A,2023-05-11 04:01:41,
